ID,STAR,RA,DEC,GAL,SpC,TIC,AVECROWD,MK,JK,BR,RUWE,TEFF,e_TEFF,SLOGL,IQR,e_IQR,PSI,e_PSI,SKW,e_SKW,ZCR,e_ZCR,MSP,e_MSP,MSD,e_MSD,MSC,e_MSC,MSS,e_MSS
0,LSI+6257,0.24306288919,62.5737767477,MW,B6Iabe,418140474,,-2.86789506202998,0.4739999771118164,0.5702390670776367,1.00600004196167,,,,,,,,,,,,,,,,,,,
1,BD+622353,0.59461862574,62.90088466274,MW,B1II,418709445,0.912980116,-3.944840123679782,0.010999679565429688,0.36182117462158203,2.0490000247955322,,,,0.000823079007386695,0.00010347961281132283,0.1734691263948649,0.10121456838115175,0.002349054738477385,0.06376262147785047,0.3578000561304504,0.05098266887979826,2.304276234526135,0.07056605172957833,0.1747429325715443,0.03630732025367388,0.01334945460502674,0.0012046705871906055,-0.02520035929627133,0.011849808294386385
2,HD225094,0.857115,63.64052,MW,B2.9Iab,282877280,0.9931898114285714,-7.096216141648597,0.14099979400634766,0.5147948265075684,15.109000205993652,16800.0,200.0,4.254126976870739,0.01171129973538752,0.0034108548066160514,2.004151214093315,0.4363488718352174,0.01469202665012211,0.3411603426009758,0.009407105117729164,0.00302473471282045,0.2308854786888242,0.18634317336966938,0.1782277602477517,0.058534928694221194,-0.00428449639940318,0.0017830887105828763,0.04032243062011758,0.013302891957111696
3,LSI+6335,1.14124039668,63.54119730813,MW,B9II,283020125,0.8610298233333333,-3.4450206531823753,0.19699954986572266,0.5951671600341797,0.8930000066757202,,,,0.001029752607185704,0.00013454080539484023,0.08104629089456572,0.053809724012566895,0.2618636130478771,0.34599364394885423,0.4130471668015831,0.05130232375129501,1.71852624401315,0.18660723794340411,0.2936071690294546,0.01819691541524865,0.01383567710434408,0.0013980563226012324,-0.06078376246143838,0.005009541128689607
4,BD+602668A,1.50576884018,60.86721454302,MW,B0.5II,606038680,,-4.437115685340551,0.14699983596801758,0.7041225433349609,0.9129999876022339,,,,,,,,,,,,,,,,,,,
5,LSI+6087,1.792952212,60.31776848086,MW,B9Iab,359248634,0.8771621,-3.6321014336234754,0.29900074005126953,0.8786725997924805,0.8629999756813049,,,,0.000850465073502467,1.4738855095272764e-05,0.005201876137432579,0.003258836344687448,0.03949129727867907,0.0023685253488556104,0.4818399187541444,0.011900351000920656,1.959177625729795,0.05254392401793601,0.328684910031444,0.00290234255900878,0.01291295758400265,0.0006858469954799851,-0.07061400390124019,0.0005664733148198163
6,LSI+61124,1.82939124629,61.89736647946,MW,B7Ib,359136961,0.93878198,-2.8564662776799956,0.21399974822998047,0.7478170394897461,0.8899999856948853,,,,0.03543972596526146,,1.467007029981056,,0.343037750912058,,0.02975856260527793,,0.3927684890554738,,0.1254660160115588,,-0.00339925006434601,,0.02765258705483074,
7,BD+572870,1.82963213853,58.33786202142,MW,B8Iab,326555656,0.9729041266666667,-4.350258131411522,0.23400020599365234,0.8133344650268555,1.0369999408721924,,,,0.001267851352167781,8.858936284799585e-05,0.7942248615180155,0.15766914320438805,1.818256819858543,0.10682594332815139,0.1838028289465898,0.0213639051980244,0.6803149544559872,0.0558627055316959,0.1263972858166497,0.005403498566262203,0.01325577401349442,0.0006047911362539158,-0.00096017251683967,0.0008588236899257502
8,HD1383,4.57390427156,61.72705671812,MW,B0II,359438901,0.9778756925000001,-4.992140095813184,0.10400009155273438,0.37980175018310547,1.024999976158142,,,,0.01123375083261635,0.007936770726587874,1.790841433135049,0.4698570055095807,2.110246894800988,0.677898553233267,0.02621614386639981,0.022966816787219055,0.2779779512456915,0.2713278596273313,0.1281336561154107,0.10046857363322981,-0.00219827036550014,0.002431896737687191,0.02911613116364536,0.022737712593930166
9,BD+6157,5.9567484526,62.32320640837,MW,B0I,444357430,0.7427418833333332,-3.070642242247228,0.16099929809570312,0.5061531066894531,0.8230000138282776,,,,0.0114915589025865,0.0005794348964597153,2.529419896394297,0.3572689745250522,-0.00357298284733991,0.035713383131189644,0.06334898129224208,0.0016655386716024718,1.309158787748889,0.14555447304966093,0.2444636159212561,0.02100979701545721,-0.01335812465358793,0.003540062545424058,0.04840532807806466,0.0018636460148167507
