line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00  149.532551  6.372929  4.722964  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.8498  4.722964   -4.826  0.206009  7.670263  7.1699220E-01  2.6874130E-01  4.3942928E-05  1.2052955E-05  4.0540799E-03  4.8531764E-03  6.9244170E-06  1.5591995E-08  1.8755109E-03  1.0517738E-04  0.000E+00  2.820E-05  2.958E-05  9.580E-01  1.078E+00  1.03E+02  1.18E+02  3.66E+01  0.510074  0.417301  0.0000000E+00  9.7379207461E+00       4.109    17.85  -11.1823   -6.5340   -1.2038   -0.3729   -0.1615   -0.4743   -0.2530   -0.0414   -1.0685   -0.0884   -0.3285    0.4053         1   -4.6483
  2  4.135219574355472E+04  148.907015  6.373675  4.718347  7.1999960E-01  2.6595600E-01  2.2809192E-03  2.8289734E-05  6.6079200E-04  5.7184325E-03  2.2697492E-06  1.2877741E-05  1.8768897E-03  1.5180561E-04  0.000E+00  0.8471  4.718347   -4.816  0.186034  7.663543  7.0924730E-01  2.7667380E-01  5.6794062E-05  1.5595381E-05  5.3566864E-03  3.3449721E-03  4.7978977E-06  1.0004820E-08  1.8725656E-03  4.4242864E-05  0.000E+00  2.640E-05  2.771E-05  9.605E-01  1.073E+00  1.02E+02  1.16E+02  3.50E+01  0.496113  0.419775  0.0000000E+00  9.3510337644E+00       4.087    18.28  -11.1842   -6.5659   -1.2027   -0.3717   -0.1609   -0.4725   -0.2522   -0.0412   -1.0650   -0.0879   -0.3273    0.4038         1   -4.6183
  3  8.308703644286435E+04  148.264957  6.374660  4.715882  7.1994880E-01  2.6599790E-01  2.2025954E-03  3.7965274E-05  7.5321236E-04  5.7058673E-03  2.4264068E-06  1.2270795E-05  1.8768697E-03  1.5111969E-04  0.000E+00  0.8453  4.715882   -4.809  0.177800  7.660718  7.0151120E-01  2.8451780E-01  6.3686252E-05  1.7486483E-05  6.1028894E-03  2.4817233E-03  3.6437977E-06  7.7406360E-09  1.8702800E-03  2.2075806E-05  0.000E+00  2.490E-05  2.639E-05  9.632E-01  1.069E+00  1.01E+02  1.15E+02  3.35E+01  0.480154  0.422537  0.0000000E+00  8.9671002218E+00       4.072    18.54  -11.1867   -6.5844   -1.2020   -0.3711   -0.1606   -0.4716   -0.2517   -0.0412   -1.0631   -0.0876   -0.3266    0.4030         1   -4.6023
  4  1.253016748766335E+05  147.604749  6.375774  4.714078  7.1964400E-01  2.6628230E-01  1.9886060E-03  4.9136729E-05  1.0604171E-03  5.6275637E-03  2.8375625E-06  1.0845602E-05  1.8767395E-03  1.4710279E-04  0.000E+00  0.8442  4.714078   -4.803  0.173452  7.659180  6.9377980E-01  2.9232040E-01  6.8218606E-05  1.8749290E-05  6.5953600E-03  1.9120549E-03  2.8335409E-06  6.0775424E-09  1.8682719E-03  1.2794009E-05  0.000E+00  2.380E-05  2.525E-05  9.645E-01  1.062E+00  1.00E+02  1.14E+02  3.27E+01  0.472121  0.425442  0.0000000E+00  8.5835765506E+00       4.061    18.74  -11.1894   -6.5988   -1.2016   -0.3706   -0.1603   -0.4709   -0.2514   -0.0411   -1.0618   -0.0874   -0.3261    0.4024         1   -4.5906
  5  1.679235103362803E+05  146.927059  6.377223  4.712512  7.1890170E-01  2.6700880E-01  1.7346222E-03  5.3418355E-05  1.5018904E-03  5.4577654E-03  3.2488945E-06  9.2902269E-06  1.8764372E-03  1.3908652E-04  0.000E+00  0.8440  4.712512   -4.795  0.171171  7.658324  6.8605020E-01  3.0010050E-01  7.2000565E-05  1.9774422E-05  6.9420851E-03  1.5100549E-03  2.2295986E-06  4.8886739E-09  1.8664145E-03  8.5627109E-06  0.000E+00  2.270E-05  2.420E-05  9.674E-01  1.061E+00  9.93E+01  1.13E+02  3.10E+01  0.453632  0.428648  0.0000000E+00  8.2003619007E+00       4.050    18.94  -11.1931   -6.6125   -1.2012   -0.3702   -0.1601   -0.4703   -0.2511   -0.0410   -1.0606   -0.0872   -0.3257    0.4019         1   -4.5805
  6  2.109237205043612E+05  146.232942  6.378710  4.711517  7.1750190E-01  2.6840620E-01  1.4946519E-03  5.2707485E-05  2.0162749E-03  5.1920644E-03  3.5108138E-06  7.8917551E-06  1.8759171E-03  1.2778044E-04  0.000E+00  0.8441  4.711517   -4.789  0.170182  7.657890  6.7830570E-01  3.0788180E-01  7.4262308E-05  2.0411730E-05  7.1968431E-03  1.2154985E-03  1.8035400E-06  4.0167375E-09  1.8646468E-03  6.5248857E-06  0.000E+00  2.160E-05  2.321E-05  9.697E-01  1.057E+00  9.87E+01  1.12E+02  2.97E+01  0.438311  0.431807  0.0000000E+00  7.8197538007E+00       4.041    19.09  -11.1968   -6.6226   -1.2010   -0.3700   -0.1600   -0.4699   -0.2510   -0.0410   -1.0599   -0.0871   -0.3255    0.4016         1   -4.5742
  7  2.540822672797212E+05  145.526722  6.380310  4.710824  7.1511120E-01  2.7080920E-01  1.2686169E-03  4.9484931E-05  2.6089293E-03  4.8214504E-03  3.6012313E-06  6.6115808E-06  1.8751080E-03  1.1363882E-04  0.000E+00  0.8450  4.710824   -4.783  0.170033  7.657731  6.7058690E-01  3.1562820E-01  7.6376161E-05  2.0976442E-05  7.3865128E-03  9.9552435E-04  1.4753349E-06  3.4387329E-09  1.8629465E-03  5.5001832E-06  0.000E+00  2.070E-05  2.225E-05  9.716E-01  1.053E+00  9.81E+01  1.11E+02  2.87E+01  0.425562  0.434897  0.0000000E+00  7.4451546503E+00       4.034    19.21  -11.2008   -6.6312   -1.2008   -0.3698   -0.1599   -0.4696   -0.2509   -0.0410   -1.0595   -0.0870   -0.3253    0.4013         1   -4.5696
  8  2.977414004523213E+05  144.803419  6.382012  4.710437  7.1155910E-01  2.7438640E-01  1.0640703E-03  4.5336391E-05  3.2467553E-03  4.3716969E-03  3.5276987E-06  5.4700486E-06  1.8740021E-03  9.8212483E-05  0.000E+00  0.8467  4.710437   -4.778  0.170285  7.657701  6.6285140E-01  3.2338460E-01  7.8315705E-05  2.1503735E-05  7.5305926E-03  8.2786756E-04  1.2162684E-06  2.8583340E-09  1.8612859E-03  4.9659803E-06  0.000E+00  2.010E-05  2.132E-05  9.726E-01  1.048E+00  9.77E+01  1.10E+02  2.80E+01  0.417929  0.437877  0.0000000E+00  7.0751460782E+00       4.027    19.30  -11.2050   -6.6378   -1.2007   -0.3697   -0.1598   -0.4694   -0.2508   -0.0410   -1.0592   -0.0870   -0.3251    0.4012         1   -4.5672
  9  3.418061074164263E+05  144.064839  6.383990  4.710522  7.0673940E-01  2.7924050E-01  8.8088018E-04  4.1097172E-05  3.9043212E-03  3.8709982E-03  3.3250418E-06  4.4540448E-06  1.8726050E-03  8.2672753E-05  0.000E+00  0.8490  4.710522   -4.774  0.171126  7.657863  6.5510700E-01  3.3114510E-01  7.9135908E-05  2.1753147E-05  7.6436360E-03  6.9744898E-04  1.0281308E-06  2.3495357E-09  1.8596533E-03  4.6404420E-06  0.000E+00  1.910E-05  2.042E-05  9.748E-01  1.044E+00  9.73E+01  1.09E+02  2.68E+01  0.402176  0.440886  0.0000000E+00  6.7118445000E+00       4.022    19.36  -11.2100   -6.6417   -1.2007   -0.3698   -0.1598   -0.4695   -0.2509   -0.0410   -1.0594   -0.0870   -0.3252    0.4013         1   -4.5683
 10  3.858261995113852E+05  143.318782  6.386000  4.710784  7.0096220E-01  2.8505590E-01  7.2803754E-04  3.7393616E-05  4.5192648E-03  3.3777656E-03  3.0483901E-06  3.6075754E-06  1.8710298E-03  6.8721778E-05  0.000E+00  0.8519  4.710784   -4.769  0.172090  7.658062  6.4737590E-01  3.3888920E-01  8.0649089E-05  2.2155375E-05  7.7327509E-03  5.9324134E-04  8.6633090E-07  1.9940015E-09  1.8580434E-03  4.3841038E-06  0.000E+00  1.830E-05  1.955E-05  9.767E-01  1.041E+00  9.69E+01  1.08E+02  2.56E+01  0.387628  0.443730  0.0000000E+00  6.3599668554E+00       4.018    19.41  -11.2150   -6.6444   -1.2008   -0.3699   -0.1599   -0.4697   -0.2509   -0.0410   -1.0596   -0.0871   -0.3253    0.4014         1   -4.5706
 11  4.286282110850651E+05  142.587053  6.387805  4.711578  6.9410910E-01  2.9194890E-01  5.9713210E-04  3.4205980E-05  5.0975568E-03  2.8964419E-03  2.7264031E-06  2.8817594E-06  1.8692562E-03  5.6217828E-05  0.000E+00  0.8534  4.711578   -4.766  0.173451  7.658393  6.3963820E-01  3.4663750E-01  8.0849970E-05  2.2235549E-05  7.8090158E-03  5.0582748E-04  7.4502436E-07  1.6196868E-09  1.8564443E-03  4.1175109E-06  0.000E+00  1.720E-05  1.873E-05  9.795E-01  1.039E+00  9.66E+01  1.08E+02  2.39E+01  0.364058  0.446060  0.0000000E+00  6.0307529565E+00       4.015    19.42  -11.2195   -6.6429   -1.2011   -0.3701   -0.1601   -0.4702   -0.2511   -0.0410   -1.0603   -0.0872   -0.3256    0.4018         1   -4.5766
 12  4.709945031920274E+05  141.857778  6.389420  4.712395  6.8636890E-01  2.9972820E-01  4.8690569E-04  3.1562571E-05  5.6234439E-03  2.4466528E-03  2.3906266E-06  2.2691424E-06  1.8673379E-03  4.5385898E-05  0.000E+00  0.8550  4.712395   -4.763  0.174587  7.658648  6.3190120E-01  3.5438340E-01  8.2272617E-05  2.2618099E-05  7.8691042E-03  4.3489273E-04  6.3207652E-07  1.3394438E-09  1.8548576E-03  3.9322531E-06  0.000E+00  1.680E-05  1.794E-05  9.805E-01  1.035E+00  9.64E+01  1.08E+02  2.33E+01  0.355811  0.447969  0.0000000E+00  5.7184971392E+00       4.014    19.39  -11.2236   -6.6411   -1.2014   -0.3704   -0.1602   -0.4705   -0.2512   -0.0411   -1.0611   -0.0873   -0.3259    0.4021         1   -4.5824
